,Job Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,information technology (IT) project manager - cybersecurity,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",Osho Fragrance IT Solutions Pvt. Ltd.,Brampton (ON),Salary: $43.60 to $43.70 hourly (to be negotiated),2942634,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Brampton , ON",$ 43.60 to $ 43.70 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2942634,"Day, Flexible Hours"
1,software and information technology project manager,"June 13, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",TAPPTIC INC.,Calgary (AB),Salary: $53.00 hourly,2959600,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Calgary , AB",$ 53.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2959600,Not specified
2,software and information technology project manager,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Ramp Group,Surrey (BC),Salary: $57.69 hourly,2958466,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Group insurance benefits']}","#318, 15225 – 104th Avenue Surrey , BC V3R 6Y8",$ 57.69 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958466,"Benefits:
					Health benefits, Financial benefits"
3,software and information technology project manager,"March 21, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 21, 2024",AvvTech Inc,Ajax (ON),Salary: $53.00 hourly,2838246,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Parking available']}","Ajax , ON Remote work available",$ 53.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2838246,"Benefits:
					Other benefits"
4,information technology (IT) project manager - cybersecurity,"February 22, 2024",2024-06-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 22, 2024",Cyber Perficient Inc,Calgary (AB),Salary: $50.77 hourly,2804180,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","5075 Falconridge Blvd NE #930 Calgary , AB T3J 3K9",$ 50.77 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2804180,Not specified
