,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
12,"assistant manager, hotel",,"March 07, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 07, 2024",3051939 Nova Scotia Ltd. o/a HI Port Hawkesbury,Port Hastings (NS),Salary: $36.06 hourly,2827690,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Free parking available']}","Port Hastings , NS",$ 36.06 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2827690,"Benefits:
					Other benefits"
13,"assistant manager, hotel",,"March 07, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 07, 2024",3059308 Nova Scotia Ltd. o/a HI Dartmouth,Dartmouth (NS),Salary: $36.06 hourly,2827659,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Free parking available']}","Dartmouth , NS",$ 36.06 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2827659,"Benefits:
					Other benefits"
14,front desk hotel manager,,"June 06, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 06, 2024",Radisson Toronto Airport West,Mississauga (ON),Salary: $39.00 hourly,2949457,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","175 Derry Road east Mississauga , ON L5T 2Z7",$ 39.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2949457,"Day, Evening, Night, Weekend, Shift"
15,hotel manager,,"April 06, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 06, 2024",Hill Top Motel & Restaurant,Grand Falls (NB),Salary: $21.50 hourly,2868870,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Free parking available', 'Parking available']}","Grand Falls , NB",$ 21.50 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2868870,"Benefits:
					Other benefits"
16,hotel manager,,"March 08, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 08, 2024",COASTAL INN HALIFAX,Halifax (NS),Salary: $21.50 hourly,2829826,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Free parking available', 'Parking available']}","Halifax , NS",$ 21.50 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2829826,"Benefits:
					Other benefits"
17,hotel manager,,"April 18, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 18, 2024",Holiday Inn Express & Suites Waterloo/St. Jacobs,Waterloo (ON),Salary: $38.46 hourly,2885482,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","14 Benjamin Road Waterloo , ON N2V 2J9",$ 38.46 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2885482,"Benefits:
					Health benefits"
18,"assistant manager, hotel",,"June 15, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 15, 2024",Northern Rockies Lodge Ltd,Muncho Lake (BC),"Salary: $4,000.00 to $4,500.00 monthly (to be negotiated)",2962559,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Bonus']}","Box 8, Mile 462 Alaska Highway Muncho Lake , BC V0C 1Z0","$ 4,000 to $ 4,500 MONTH monthly (To be negotiated) / 40 to 48 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2962559,"Benefits:
					Financial benefits"
19,hotel manager,,"April 05, 2024",2024-07-23,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 05, 2024",Snow Valley Lodging,Fernie (BC),Salary: $31.00 hourly,2866603,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Bonus', 'Registered Retirement Savings Plan (RRSP)']}","Fernie , BC",$ 31.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2866603,"Benefits:
					Health benefits, Financial benefits"
20,hotel assistant manager,,"March 14, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 14, 2024",Westport Inn,Grande Prairie (AB),Salary: $30.00 hourly,2837955,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Grande Prairie , AB",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2837955,Not specified
21,hotel assistant manager,,"March 21, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 21, 2024",Ramada by Wyndham Whitecourt,Whitecourt (AB),Salary: $30.00 hourly,2847663,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Free parking available']}","Whitecourt , AB",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2847663,"Benefits:
					Other benefits"
22,hotel assistant manager,,"February 28, 2024",2024-06-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 28, 2024",10103389 Manitoba Ltd.,Elie (MB),Salary: $31.25 hourly,2816329,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Elie , MB",$ 31.25 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2816329,"Day, Weekend, Overtime, Morning"
23,hotel manager,,"April 16, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 16, 2024",Sahara Courtyard Inn (1995) Ltd.,Penticton (BC),Salary: $31.00 hourly,2881990,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","1048 Westminster Ave W, Penticton , BC V2A 1L5",$ 31.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2881990,"Day, Evening, Weekend, Early Morning, Morning"
24,"assistant manager, hotel",,"May 24, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 24, 2024",Hampton Inn & Suites by Hilton Edmonton NW/St. Albert,Edmonton (AB),"Salary: $55,000.00 to $65,000.00 annually (to be negotiated)",2932909,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Free parking available', 'On-site amenities', 'Parking available']}","Edmonton , AB","$ 55,000 to $ 65,000 YEAR annually (To be negotiated) / 44 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2932909,"Benefits:
					Health benefits, Other benefits"
25,front desk hotel manager,,"April 12, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 12, 2024",HOLIDAY INN EXPRESS HOTEL & SUITES HOTEL,Calgary (AB),Salary: $34.67 hourly,2877374,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","12025 Lake Fraser Drive SE Calgary , AB T2J 7G7",$ 34.67 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2877374,"Day, Evening, Weekend, Shift, Overtime, Flexible Hours, Morning"
26,"assistant manager, hotel",,"June 10, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",97 Motor inn,Prince George (BC),Salary: $30.77 hourly,2954131,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Prince George , BC",$ 30.77 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954131,Day
27,hotel assistant manager,,"March 14, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 14, 2024",Westport Inn,Grande Prairie (AB),Salary: $30.00 hourly,2837955,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Grande Prairie , AB",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2837955,Not specified
28,hotel manager,,"May 17, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 17, 2024",The Burrard,Vancouver (BC),"Salary: $65,000.00 annually",2922924,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","1100 Burrard Street Vancouver , BC V6Z 1Y7","$ 65,000 YEAR annually / 30 to 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2922924,Not specified
