,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
12,sales supervisor,,"June 26, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 26, 2024",RUNNING GEAR AUT CORP.,Regina (SK),$22.00 hourly,2977292,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","1920 E FRANCIS STREET Regina , SK S4N 6B3",$ 22.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2977292,Not specified
13,Retail sales supervisors,Title posted on CareerBeacon -Special Services Supervisor ( Bilingual),"May 31, 2024",2024-06-29,,,,"May 31, 2024",Home Depot,Location,Salary not available,2064990,https://www.careerbeacon.com/en/job/2064990/home-depot/special-services-supervisor-bilingual/quebec-city?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Quebec City,Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2064990,Not specified
14,sales supervisor,,"June 27, 2024",2024-07-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 27, 2024",TRINITY AUTO INC.,Brampton (ON),$25.00 hourly,2978429,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 25.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2978429,Not specified
15,sales supervisor,,"June 26, 2024",2024-07-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 26, 2024",STANDARD AUTO WRECKERS,Scarborough (ON),$25.00 hourly,2973585,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Scarborough , ON",$ 25.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2973585,Not specified
16,sales supervisor,,"June 26, 2024",2024-07-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 26, 2024",PARAMOUNT AGRO GROUP LTD,Calgary (AB),$22.50 hourly,2976078,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Calgary , AB",$ 22.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2976078,Not specified
17,sales supervisor,,"June 27, 2024",2024-07-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 27, 2024",Surrey Inspection & Repair Centre Ltd,Surrey (BC),$27.00 hourly,2978496,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Surrey , BC",$ 27.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2978496,Not specified
18,sales supervisor,,"June 22, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",DEE.KAY HOLDINGS LTD.,Victoria (BC),$23.50 hourly,2971696,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","430 Burnside Road East Victoria , BC V8T 2X2",$ 23.50 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971696,"Day, Weekend"
19,sales supervisor,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",DREAMFLEET INC.,Cannifton (ON),$22.50 hourly,2968755,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Cannifton , ON",$ 22.50 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968755,Not specified
20,sales supervisor,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",DREAMFLEET INC.,Brampton (ON),$22.50 hourly,2967221,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 22.50 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2967221,Not specified
21,sales supervisor,,"June 22, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",D&C FITNESS LTD,Coquitlam (BC),$22.60 hourly,2971489,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","138-3000 LOUGHEED HWY Coquitlam , BC V3B 1C5",$ 22.60 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971489,Flexible Hours
