,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
13,receptionist,"June 10, 2024",2024-07-11,"June 10, 2024",Vancouver Coastal Health,Vancouver (BC),Salary not available,463cd15dcdca42cb96bca4c0b2909c28,https://job-openings.monster.ca/receptionist-vancouver-bc-ca-vancouver-coastal-health/b426d77c-bda9-43c4-a21c-759f6a452843?mescoid=4301136002005,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #463cd15dcdca42cb96bca4c0b2909c28,Not specified
14,receptionist,"June 10, 2024",Not specified,"June 10, 2024",Krown Midland,Location,Salary:$18.00 hourly,9316979911,https://ca.indeed.com/viewjob?jk=55b5ef912d6d3c72&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Tiny,$ 18.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9316979911,Not specified
15,dental receptionist,"June 11, 2024",Not specified,"June 11, 2024",Concord Dental,Concord (ON),Salary:$20.00 to $26.00 hourly,9318963123,https://ca.indeed.com/viewjob?jk=dd10e08c8312f6fe&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Concord , ON",$ 20.00 to $ 26.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9318963123,Not specified
16,receptionist,"June 01, 2024",2024-07-01,"June 01, 2024",Vancouver Coastal Health,Vancouver (BC),Salary not available,788ed39b2cd44a2bbd411e1bba6f31fb,https://job-openings.monster.ca/receptionist-vancouver-community-mental-health-services-summer-position-vancouver-bc-ca-vancouver-coastal-health/104d3b7d-081d-410a-93ff-de0c0a6ce69a?mescoid=2100312001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #788ed39b2cd44a2bbd411e1bba6f31fb,Not specified
17,receptionist,"June 12, 2024",Not specified,"June 12, 2024",Floka Salon,East York (ON),Salary:$17.00 hourly,9319910654,https://ca.indeed.com/viewjob?jk=11d99d77a047cdd1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","East York , ON",$ 17.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9319910654,Not specified
18,receptionist,"June 11, 2024",2024-07-10,"June 11, 2024",CareMax Wellness and Rehab,Oshawa (ON),Salary:$22.78 hourly,b8964051,https://www.ziprecruiter.com/k/t/AAI7D1oqZbPz6Z45ND29C_YrUvraVcK2omtfEi8JwT5iJ7RrANsmFvjDj5MwbqVPumBDYiY_k7cGJRbe3TtcrBiiy7yDve9n1phxXmwSgYUqCNXteBIBIioO672RkrA4Vn0XYvMybqKvtJR75Mgdf7iSd5kosYyrPPloOTlh0ogX_TMloZmDvmJH-1_ovYwrqYSDVaIsm1ubudWkC2liVIRNTbrV__z4H-UEqI5GtSIHYBgF8YfcAEpDhHqYDeS-UYhElYoMVGguRrXQ0Sf0rTxdQUlgbLxni0CN0XifNIdY3HR2r2-a2ve_t2DNBELLoG8,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oshawa , ON",$ 22.78 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #b8964051,Not specified
19,receptionist,"June 03, 2024",Not specified,"June 03, 2024",Groupe Dermapure Inc.,Richmond (BC),Salary:$20.00 hourly,9307212824,https://ca.indeed.com/viewjob?jk=1ee39d5a3e2e33c3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",$ 20.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9307212824,Not specified
20,receptionist,"June 12, 2024",2024-07-13,"June 12, 2024",Helical Pile Solutions,Nisku (AB),Salary not available,09AF4D303E,https://job-openings.monster.ca/front-desk-receptionist-nisku-ab-ca-helical-pile-solutions/2e1d745d-559a-4685-bab3-1d720b7f068e?mescoid=4301136002005,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nisku , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #09AF4D303E,Not specified
21,receptionist,"June 11, 2024",Not specified,"June 11, 2024",Champlain Manor Retirement Residence,Orillia (ON),Salary:$16.55 to $17.00 hourly,9318608597,https://ca.indeed.com/viewjob?jk=73629f88bcb7db2a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Orillia , ON",$ 16.55 to $ 17.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9318608597,Not specified
22,receptionist,"June 01, 2024",Not specified,"June 01, 2024",ParkvilleManor,Saskatoon (SK),Salary:$18.00 to $20.00 hourly,9304732460,https://ca.indeed.com/viewjob?jk=2a3b64d497e13e2c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",$ 18.00 to $ 20.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9304732460,Not specified
