Index,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,marine engineer,"June 03, 2024",Not specified,"June 03, 2024",360 Marine Ltd,Harbour Breton (NL),Salary not available,9307018320,https://ca.indeed.com/viewjob?jk=271dbade94f873ef&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Harbour Breton , NL",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9307018320,Not specified
1,marine engineer,"June 10, 2024",2024-07-10,"June 10, 2024",Lindsay Construction,Sydney (NS),Salary not available,2048646,https://www.careerbeacon.com/en/job/2048646/lindsay-construction/project-engineer-project-coordinator-cbrh/sydney?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sydney , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2048646,Not specified
