,Job Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,technical support specialist – information technology (IT),"February 28, 2024",2024-06-23,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 28, 2024",Beyond GTA Inc.,Markham (ON),Salary: $28.85 hourly,2814068,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Life insurance', 'Long-term care insurance', 'Other benefits']}","5200 Yonge Street Markham , ON L3R 6G2",$ 28.85 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2814068,"Benefits:
					Health benefits, Financial benefits, Long term benefits, Other benefits"
1,technical support specialist – information technology (IT),"May 27, 2024",2024-06-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 27, 2024",Connexall,North York (ON),Salary: $32.69 hourly,2934382,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'Long-term care insurance', 'Free parking available']}","North York , ON",$ 32.69 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2934382,"Benefits:
					Health benefits, Financial benefits, Long term benefits, Other benefits"
2,technical support specialist – information technology (IT),"May 25, 2024",2024-06-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 25, 2024",Eataly Toronto,Toronto (ON),"Salary: $70,000.00 to $75,600.00 annually (to be negotiated)",2933692,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Registered Retirement Savings Plan (RRSP)', 'Maternity and parental benefits', 'Other benefits']}","Toronto , ON","$ 70,000 to $ 75,600 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2933692,"Benefits:
					Health benefits, Financial benefits, Long term benefits, Other benefits"
3,technical support specialist – information technology (IT),"March 05, 2024",2024-06-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",Lower Mainland Society for Community Living,Vancouver (BC),Salary: $30.80 hourly,2815621,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)']}","Vancouver , BC",$ 30.80 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2815621,"Benefits:
					Health benefits, Financial benefits"
4,technical support specialist – information technology (IT),"April 26, 2024",2024-06-23,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 26, 2024",Tech Quest Solutions Inc,Calgary (AB),Salary: $30.00 hourly,2895977,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","7 Westwinds Crescent NE Calgary , AB T3J 5H2",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2895977,"Day, Evening, Shift, Morning"
5,technical support specialist – information technology (IT),"April 03, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 03, 2024",AB DIGILIFE LTD.,Calgary (AB),Salary: $30.00 to $32.00 hourly (to be negotiated),2864348,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Calgary , AB",$ 30.00 to $ 32.00 HOUR hourly (To be negotiated) / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2864348,Not specified
6,technical support specialist – information technology (IT),"March 21, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 21, 2024",Brimich Logistics & Packaging Inc.,Brantford (ON),Salary: $34.50 hourly,2847852,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Registered Retirement Savings Plan (RRSP)']}","15 Kraemer's Way Brantford , ON N3V 0A6",$ 34.50 HOUR hourly / 35 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2847852,"Benefits:
					Health benefits, Financial benefits"
