,Job Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,financial compliance officer,"April 15, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 15, 2024",AAA ACCOUNTING & TAX SERVICES INC.,Calgary (AB),Salary: $39.50 hourly,2879184,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","4656 WESTWINDS DRIVE NE Calgary , AB T3J 3Z5",$ 39.50 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2879184,"Day, Evening, Early Morning, Morning"
1,financial compliance officer,"June 14, 2024",2024-07-14,Job Bank,,This job posting is advertised by a recruitment agency on behalf of the employer.,"June 14, 2024",Recrute Action Inc.,Waterloo (ON),Salary: $29.30 hourly,2960706,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Waterloo , ON Remote work available",$ 29.30 HOUR hourly / 37.5 hours per week,Term or contract Full time,Starts as soon as possible,2,Job Bank #2960706,Permanent placement opportunity
2,regulatory compliance officer,"June 14, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",The Law Society of Newfoundland and Labrador,St. John's (NL),"Salary: $78,412.50 to $106,087.50 annually (to be negotiated)",2958955,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Learning/training paid by employer', 'Other benefits', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Parking available', 'Variable or compressed work week', 'Wellness program']}","St. John's , NL Remote work available","$ 78,412.5 to $ 106,087.5 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958955,"Benefits:
					Health benefits, Other benefits"
