,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
12,human resources coordinator,,"June 26, 2024",Not specified,,,,"June 26, 2024",Onedersquad,Mississauga (ON),"30,000.00 to $50,000.00 annually",9338820409,https://ca.indeed.com/viewjob?jk=d1b3c730c97da8bd&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON","$ 30,000 to $ 50,000 YEAR annually",Permanent employment,Starts as soon as possible,1 vacancy,indeed.com #9338820409,Not specified
13,administrative coordinator,Title posted on CivicJobs.ca -Corporate Grant Analyst,"June 21, 2024",2024-07-21,,,,"June 21, 2024",Capital Regional District,Victoria (BC),40.36 hourly,95670,https://www.civicjobs.ca/jobs?id=95670,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 40.36 HOUR hourly,Term or contract Part time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95670,Not specified
14,General office support workers,Title posted on CareerBeacon -Summer Intern - Office Assistant,"June 20, 2024",2024-07-20,,,,"June 20, 2024",Canadian Red Cross,Saint John (NB),17.00 hourly,2039490,https://www.careerbeacon.com/en/job/2039490/canadian-red-cross/summer-intern-office-assistant/saint-john?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint John , NB",$ 17.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2039490,Not specified
15,marketing coordinator,Title posted on indeed.com -Proposal & Marketing Coordinator,"June 24, 2024",Not specified,,,,"June 24, 2024",Heritage Office Furnishings,Vancouver (BC),"45,000.00 to $50,000.00 annually",9336099590,https://ca.indeed.com/viewjob?jk=bf3c9b5ef5a61235&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 45,000 to $ 50,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9336099590,Not specified
16,sustainability program coordinator,Title posted on indeed.com -Program Coordinator,"June 26, 2024",Not specified,,,,"June 26, 2024",New West College,Calgary (AB),"50,000.00 to $60,000.00 annually",9338041634,https://ca.indeed.com/viewjob?jk=8492d1463461e4a8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 50,000 to $ 60,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338041634,Not specified
17,logistics coordinator,,"June 18, 2024",Not specified,,,,"June 18, 2024",Star Produce Ltd.,Saskatoon (SK),Salary not available,9328458946,https://ca.indeed.com/viewjob?jk=68b4fe3c2068dd23&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9328458946,Not specified
18,administrative coordinator,Title posted on Jobillico -Administrative Coordinator   Rental Agent,"June 14, 2024",2024-07-13,,,,"June 14, 2024",COGIR Immobilier,Saint-Jérôme (QC),Salary not available,14015247,https://www.jobillico.com/en/job-offer/cogir-immobilier/administrative-coordinator-rental-agent/14015247?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Jérôme , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #14015247,Not specified
19,marketing coordinator,Title posted on CareersInFood.com -National Events & Marketing Coordinator,"June 12, 2024",Not specified,,,,"June 12, 2024",UNFI,Concord (ON),Salary not available,1672039,https://www.careersinfood.com/national-events-and-marketing-coordinator-job-1672039.htm,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Concord , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,CareersInFood.com #1672039,Not specified
20,logistics coordinator,,"June 21, 2024",Not specified,,,,"June 21, 2024",Titanium Transportation Group Inc.,Brampton (ON),Salary not available,9333321124,https://ca.indeed.com/viewjob?jk=577921296a7603d3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333321124,Not specified
21,logistics coordinator,,"June 21, 2024",Not specified,,,,"June 21, 2024",Titanium Transportation Group Inc.,Mississauga (ON),Salary not available,9333328201,https://ca.indeed.com/viewjob?jk=4efef9fe7399b41a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333328201,Not specified
22,logistics coordinator,,"June 21, 2024",Not specified,,,,"June 21, 2024",Titanium Transportation Group Inc.,North York (ON),Salary not available,9333328204,https://ca.indeed.com/viewjob?jk=0012d54cd81e2a4e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333328204,Not specified
23,patient care coordinator,Title posted on indeed.com -Patient Care Coordinator - Pickering,"June 25, 2024",Not specified,,,,"June 25, 2024",BODY WORKS PHYSIOTHERAPY,Pickering (ON),17.00 to $19.00 hourly,9337540750,https://ca.indeed.com/viewjob?jk=7ad544ab4b3ff087&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Pickering , ON",$ 17.00 to $ 19.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9337540750,Not specified
24,sales and promotions coordinator,"Title posted on Jobillico -Coordinator, Project Sales (Full Time)","June 14, 2024",2024-07-13,,,,"June 14, 2024",RONA,Chilliwack (BC),Salary not available,14013600,https://www.jobillico.com/en/job-offer/rona/coordinator-project-sales-full-time-/14013600?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chilliwack , BC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #14013600,Not specified
