,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
11,art coordinator - education,Title posted on Jobillico -Indigenous Education Coordinator,"June 07, 2024",2024-07-06,,,,"June 07, 2024",Sturgeon Public Schools,Morinville (AB),Salary not available,13971048,https://www.jobillico.com/en/job-offer/sturgeon-public-schools/indigenous-education-coordinator/13971048?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Morinville , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13971048,Not specified
12,education program coordinator,Title posted on Jobillico -Program Support Teacher,"June 11, 2024",2024-07-10,,,,"June 11, 2024",Beaufort Delta Divisional Education Council,Aklavik (NT),Salary not available,13985637,https://www.jobillico.com/en/job-offer/beaufort-delta-divisional-education-council/program-support-teacher/13985637?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Aklavik , NT",Not available,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13985637,Not specified
13,special education coordinator - education,Title posted on Jobillico -Coordonnateur de la formation pratique en ergothérapie,"June 03, 2024",2024-07-02,,,,"June 03, 2024",Université de Sherbrooke,Sherbrooke (QC),Salary: $34.37 to $55.70 hourly,13929510,https://www.jobillico.com/en/job-offer/universite-de-sherbrooke/coordonnateur-de-la-formation-pratique-en-ergotherapie/13929510?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherbrooke , QC",$ 34.37 to $ 55.70 HOUR hourly,Term or contract Part time,Starts as soon as possible,1 vacancy,Jobillico #13929510,Not specified
14,education program coordinator,Title posted on Jobillico -Program Support Teacher,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Beaufort Delta Divisional Education Council,Fort McPherson (NT),Salary not available,13980999,https://www.jobillico.com/en/job-offer/beaufort-delta-divisional-education-council/program-support-teacher/13980999?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fort McPherson , NT",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13980999,Not specified
15,education program coordinator,,"March 14, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 14, 2024",Sun Peaks Resort LLP,Sun Peaks (BC),Salary: $30.91 hourly,2837520,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Bonus', 'Registered Retirement Savings Plan (RRSP)', 'Learning/training paid by employer', 'On-site amenities', 'Other benefits', 'Wellness program']}","Sun Peaks , BC",$ 30.91 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2837520,"Benefits:
					Financial benefits, Other benefits"
16,special education coordinator - education,Title posted on JobsMedia.ca -Pivot Special Education Technician,"June 06, 2024",2024-07-06,,,,"June 06, 2024",Centre d?hébergement et de soins de longue durée Côté-Jardins inc. - Site Jardins du Haut Saint Laurent,Saint-Augustin-de-Desmaures (QC),Salary not available,104469,https://educemplois.com/en/offer/pivot-special-education-technician/104469?utm_campaign=jobbank_jobs_apply&utm_source=jobbank_jobs_apply&utm_medium=organic,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Augustin-de-Desmaures , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,JobsMedia.ca #104469,Not specified
17,education program coordinator,"Title posted on Jobillico -PASS – ESL, LINC and CNC Program Manager","June 04, 2024",2024-07-03,,,,"June 04, 2024",Waterloo Catholic District School Board,Kitchener (ON),Salary not available,13938576,https://www.jobillico.com/en/job-offer/waterloo-catholic-district-school-board/pass-ndash-esl-linc-and-cnc-program-manager/13938576?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13938576,Not specified
18,program coordinator - post-secondary education,Title posted on Jobillico -Coordonnateur académique aux programmes d'études supérieures,"June 05, 2024",2024-07-04,,,,"June 05, 2024",Université de Sherbrooke,Longueuil (QC),"Salary: $62,553.00 to $101,374.00 annually",13949652,https://www.jobillico.com/en/job-offer/universite-de-sherbrooke/coordonnateur-academique-aux-programmes-d-etudes-superieures/13949652?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Longueuil , QC","$ 62,553 to $ 101,374 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13949652,Not specified
19,education program co-ordinator,,"April 19, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 19, 2024",Aitchison School of Canada Inc.,Stoney Creek (ON),Salary: $31.50 hourly,2886711,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Stoney Creek , ON",$ 31.50 HOUR hourly / 40 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2886711,"Day, Flexible Hours, To be determined"
20,education program coordinator,,"May 13, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 13, 2024",Campus Support,New Westminster (BC),Salary: $32.05 to $35.00 hourly (to be negotiated),2914749,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","960 Quayside Drive New Westminster , BC V3M 6G2",$ 32.05 to $ 35.00 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2914749,Not specified
21,education program coordinator,,"April 15, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 15, 2024",Rosedale Global High School,Markham (ON),Salary: $40.00 hourly,2880114,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","7030 Woodbine Ave Markham , ON L3R 6G2",$ 40.00 HOUR hourly / 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2880114,Not specified
22,education program coordinator,,"March 08, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 08, 2024",VTEACH LEARNING CENTRE CORP.,Edmonton (AB),Salary: $45.00 hourly,2830235,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","1803 91 Street SW #110 Edmonton , AB T6X 0W8",$ 45.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2830235,Not specified
23,education outreach program coordinator,Title posted on Jobillico -Conceptrice   Concepteur pédagogique en formation technique - environnement logiciel-service (SaaS),"June 13, 2024",2024-07-12,,,,"June 13, 2024",Coveo Solutions inc.,Montréal (QC),Salary not available,14003568,https://www.jobillico.com/en/job-offer/coveo-solutions-inc/conceptrice-concepteur-p-eacute-dagogique-en-formation-technique-environnement-logiciel-service-saas-/14003568?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #14003568,Not specified
