,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,technical support specialist - wholesale trade,,"March 07, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 07, 2024",GLOBYZ PHARMA,Mississauga (ON),$29.50 hourly,2828361,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Mississauga , ON",$ 29.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2828361,"Flexible Hours, To be determined"
1,user support technician,Title posted on CareerBeacon -Computer Support Specialist,"June 14, 2024",2024-07-14,,,,"June 14, 2024",NL Health Services,St. John's (NL),$27.07 hourly,2078611,https://www.careerbeacon.com/en/job/2078611/nl-health-services/computer-support-specialist/st-john-s?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. John's , NL",$ 27.07 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2078611,Not specified
2,technical support specialist - wholesale trade,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Venture Elevator Inc.,Prince George (BC),$32.00 to $40.00 hourly (to be negotiated),2958317,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Group insurance benefits', 'Pension plan', 'Registered Retirement Savings Plan (RRSP)', 'Tax-Free Savings Account (TFSA)', 'Learning/training paid by employer', 'Travel insurance']}","Prince George , BC",$ 32.00 to $ 40.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958317,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
3,technical support specialist – information technology (IT),,"June 26, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 26, 2024",Beyond GTA Inc.,Markham (ON),$28.85 hourly,2975889,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Life insurance', 'Long-term care insurance', 'Other benefits']}","7030 Woodbine Avenue Markham , ON L3R 6G2",$ 28.85 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2975889,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
4,technical support specialist – information technology (IT),,"June 26, 2024",2024-07-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 26, 2024",Pest Detective Corporate Canada Ltd,North Vancouver (BC),$31.00 to $33.00 hourly (to be negotiated),2975678,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Free parking available', 'Wellness program']}","North Vancouver , BC",$ 31.00 to $ 33.00 HOUR hourly (To be negotiated) / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2975678,"Benefits:Other benefits"
5,technical support specialist - wholesale trade,,"March 27, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 27, 2024",25th Century Homes Inc.,Edmonton (AB),$36.06 hourly,2854338,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","15704 76 St NW Edmonton , AB T5Z 2X2",$ 36.06 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2854338,Day
6,technical support specialist – information technology (IT),,"May 25, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 25, 2024",Eataly Toronto,Toronto (ON),"$70,000.00 to $75,600.00 annually (to be negotiated)",2933692,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Registered Retirement Savings Plan (RRSP)', 'Maternity and parental benefits', 'Other benefits']}","Toronto , ON","$ 70,000 to $ 75,600 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2933692,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
7,technical support specialist – information technology (IT),,"March 05, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",Lower Mainland Society for Community Living,Vancouver (BC),$30.80 hourly,2815621,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)']}","Vancouver , BC",$ 30.80 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2815621,"Benefits:Health benefits, Financial benefits"
8,technical support specialist – information technology (IT),,"April 26, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 26, 2024",Tech Quest Solutions Inc,Calgary (AB),$30.00 hourly,2895977,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","7 Westwinds Crescent NE Calgary , AB T3J 5H2",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2895977,"Day, Evening, Shift, Morning"
9,technical support specialist – information technology (IT),,"April 03, 2024",2024-07-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 03, 2024",AB DIGILIFE LTD.,Calgary (AB),$30.00 to $32.00 hourly (to be negotiated),2864348,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Calgary , AB",$ 30.00 to $ 32.00 HOUR hourly (To be negotiated) / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2864348,Not specified
