Title,Link,Facility,Location,Shift Type,Competition,Department,Type of Employment,Union Status,Closing Date,Pay Grade,Salary Range
Social Worker (Regional Resource Assessor) (Designated),https://jobs.novascotia.ca/job/Flexible-Social-Worker-%28Regional-Resource-Assessor%29-%28Designated%29-NS-B4V-1V8/581348517/,Community Services,Flexible,03-Jul-24,42815,Community Services,Permanent,Not found,03-Jul-24,PR 09 - PR 15,"Salary Range:  $2,173.77 - $3,364.90 Bi-Weekly"
Correctional Officer - Relief Roster (Designated),https://jobs.novascotia.ca/job/HALIFAX-Correctional-Officer-Relief-Roster-%28Designated%29-NS-B3J-1T0/575552817/,Justice,Not found,07-Nov-24,Not found,Not found,07-Nov-24,Not found,Not found,Not found,Not found
Administrative Assistant (Secretary 2) - Casual Relief,https://jobs.novascotia.ca/job/KENTVILLE-Administrative-Assistant-%28Secretary-2%29-Casual-Relief-NS-B4N-2E3/582234617/,Justice,Location: KENTVILLE,16-Jul-24,Not found,Department: Justice,Type of Employment: Casual,Not found,Closing Date: 16-Jul-24,Not found,Pay Grade:  CL 18
Crown Attorney,https://jobs.novascotia.ca/job/KENTVILLE-Crown-Attorney-NS-B4N-2E3/582239617/,Public Prosecution Service,Not found,09-Jul-24,Not found,Not found,Not found,Not found,Not found,CA 01 - SCA 10,"Salary Range:  $3,185.77 - $5,877.68 Bi-Weekly"
Area Firearms Officer (Compliance Officer 3) - Halifax,https://jobs.novascotia.ca/job/HALIFAX-Area-Firearms-Officer-%28Compliance-Officer-3%29-Halifax-NS-B3J-2L6/582235217/,Justice,HALIFAX,09-Jul-24,43359,Justice,Permanent,NSGEU - NSPG,09-Jul-24,TE 24,"Salary Range:  $2,370.01 - $2,791.38 Bi-Weekly"
Area Firearms Officer (Compliance Officer 3) - Yarmouth,https://jobs.novascotia.ca/job/YARMOUTH-Area-Firearms-Officer-%28Compliance-Officer-3%29-Yarmouth-NS-B5A-2T1/582235317/,Justice,YARMOUTH,09-Jul-24,43358,Justice,Permanent,NSGEU - NSPG,09-Jul-24,TE 24,"Salary Range:  $2,370.01 - $2,791.38 Bi-Weekly"
Engineering Aide (Clerk 4) (New Minas),https://jobs.novascotia.ca/job/NEW-MINAS-Engineering-Aide-%28Clerk-4%29-%28New-Minas%29-NS-B4N-3G7/582227917/,Public Works,NEW MINAS,09-Jul-24,43402,Public Works,Term,NSGEU - NSPG,09-Jul-24,CL 22,"Salary Range:  $1,934.21 - $2,139.34 Bi-Weekly"
Dispatch Operator 1,https://jobs.novascotia.ca/job/SHUBENACADIE-Dispatch-Operator-1-NS-B0N-2H0/582232217/,Service Nova Scotia,SHUBENACADIE,07-Jul-24,43374,Service Nova Scotia,Permanent,NSGEU - NSPG,07-Jul-24,TE 17,"Salary Range:  $1,792.63 - $2,105.04 Bi-Weekly"
Clerk 3 (Administration and Vehicle Tax Clerk),https://jobs.novascotia.ca/job/HALIFAX-Clerk-3-%28Administration-and-Vehicle-Tax-Clerk%29-NS-B3J-3K5/582232317/,Service Nova Scotia,HALIFAX,09-Jul-24,43267,Service Nova Scotia,Term,NSGEU - NSPG,09-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
"Co-op Finance Student, Fall 2024 (2 Opportunities)",https://jobs.novascotia.ca/job/HALIFAX-Co-op-Finance-Student%2C-Fall-2024-%282-Opportunities%29-NS-B3J2A8/582231117/,Community Services,"Location: Halifax, Kentville or New Glasgow",09-Jul-24,Not found,Department: Community Services,Type of Employment: Student,Not found,Closing Date: 09-Jul-24,Not found,Pay Grade:  HOURLY
Park Attendant (Maintenance Worker 1(A)),https://jobs.novascotia.ca/job/BROOKLYN-Park-Attendant-%28Maintenance-Worker-1%28A%29%29-NS-B0N-2A0/582250517/,Natural Resources & Renewables,BROOKLYN,09-Jul-24,43423,Natural Resources & Renewables,Seasonal,NSGEU - NSPG,09-Jul-24,MOS 04,"Salary Range:  $1,546.31 - $1,575.65 Bi-Weekly"
Labour Standards Officer 3,https://jobs.novascotia.ca/job/HALIFAX-Labour-Standards-Officer-3-NS-B3J-2T8/582250717/,"Labour, Skills and Immigration",HALIFAX,09-Jul-24,43420,"Labour, Skills and Immigration",Permanent,NSGEU - NSPG,09-Jul-24,PR 15,"Salary Range:  $2,760.42 - $3,364.90 Bi-Weekly"
Executive Administrative Coordinator to the CEO,https://jobs.novascotia.ca/job/HALIFAX-Executive-Administrative-Coordinator-to-the-CEO-NS-B3J-1V9/582234117/,Art Gallery of Nova Scotia,Closing Date: ​09-Jul-24,09-Jul-24,Not found,Union Status: Exclusion - Non Union - NSPG,Pay Grade:  EC 06,Not found,Not found,Not found,Not found
Inspector/Checker/Weigher (Summer Works Period) (Yarmouth Construction Area) (4 Positions),https://jobs.novascotia.ca/job/YARMOUTH-COUNTY-InspectorCheckerWeigher-%28Summer-Works-Period%29-%28Yarmouth-Construction-Area%29-%284-Positions%29-NS-B5A-4A8/582193317/,Public Works,Location: YARMOUTH COUNTY,09-Jul-24,Not found,Department: Public Works,Zone: 34,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Inspector/Checker/Weigher (Summer Works Period) (Shelburne Construction Area) (2 Positions),https://jobs.novascotia.ca/job/SHELBURNE-InspectorCheckerWeigher-%28Summer-Works-Period%29-%28Shelburne-Construction-Area%29-%282-Positions%29-NS-B0T-1W0/582195817/,Public Works,Location: SHELBURNE,09-Jul-24,Not found,Department: Public Works,Zone: 32,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Division Crewperson (Special Works Crew) (Traffic Control Crew) (Bible Hill) (2 Positions),https://jobs.novascotia.ca/job/BIBLE-HILL-Division-Crewperson-%28Special-Works-Crew%29-%28Traffic-Control-Crew%29-%28Bible-Hill%29-%282-Positions%29-NS-B2N-4L7/582189017/,Public Works,Location: BIBLE HILL,09-Jul-24,Not found,Department: Public Works,"Zone: 14, 15 and 16",Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Survey Assistant (Summer Works Period) (Colchester),https://jobs.novascotia.ca/job/BIBLE-HILL-Survey-Assistant-%28Summer-Works-Period%29-%28Colchester%29-NS-B2N-2C1/582202517/,Public Works,Location: BIBLE HILL,09-Jul-24,Not found,Department: Public Works,Zone: 14,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Division Crewperson (Year Round) (Londonderry),https://jobs.novascotia.ca/job/LONDONDERRY-Division-Crewperson-%28Year-Round%29-%28Londonderry%29-NS-B0M-1M0/582188217/,Public Works,Location: LONDONDERRY,09-Jul-24,Not found,Department: Public Works,Zone: 16,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Administrative Assistant (Secretary 2),https://jobs.novascotia.ca/job/HALIFAX-Administrative-Assistant-%28Secretary-2%29-NS-B3B-0K5/582211717/,Community Services,"Halifax, Dartmouth",08-Jul-24,43404,Community Services,Term,NSGEU - NSPG,08-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
Wildfire Prevention Officer (Forestry Technician 4),https://jobs.novascotia.ca/job/SHUBENACADIE-Wildfire-Prevention-Officer-%28Forestry-Technician-4%29-NS-B0N-2H0/582188917/,Natural Resources & Renewables,SHUBENACADIE,08-Jul-24,43383,Natural Resources & Renewables,Permanent,Not found,08-Jul-24,TE 27 -,"Salary Range:  $2,683.02 - $3,116.30 Bi-Weekly"
Motor Vehicle Officer 2 (Compliance Station Inspector) (Designated) (Enfield),https://jobs.novascotia.ca/job/ENFIELD-Motor-Vehicle-Officer-2-%28Compliance-Station-Inspector%29-%28Designated%29-%28Enfield%29-NS-B2T-1J6/582198717/,Public Works,ENFIELD,08-Jul-24,43398,Public Works,Permanent,NSGEU - NSPG,08-Jul-24,TE 22,"Salary Range:  $2,189.32 - $2,574.66 Bi-Weekly"
Clerk 3 (Enrollment Clerk),https://jobs.novascotia.ca/job/NEW-WATERFORD-Clerk-3-%28Enrollment-Clerk%29-NS-B1H-5V8/582205517/,Justice,NEW WATERFORD,08-Jul-24,43351,Justice,Permanent,NSGEU - NSPG,08-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
Motor Vehicle Officer 2 (Compliance Station Inspector) (Amherst) (2 Positions),https://jobs.novascotia.ca/job/AMHERST-Motor-Vehicle-Officer-2-%28Compliance-Station-Inspector%29-%28Amherst%29-%282-Positions%29-NS-B4H-3Y5/582200917/,Public Works,AMHERST,08-Jul-24,43399,Public Works,Permanent,NSGEU - NSPG,08-Jul-24,TE 22,"Salary Range:  $2,189.32 - $2,574.66 Bi-Weekly"
Deputy Sheriff 1-2 (Relief Roster),https://jobs.novascotia.ca/job/Multiple-Locations-Deputy-Sheriff-1-2-%28Relief-Roster%29-NS-B3J-1V7/579610717/,Justice,Multiple Locations,30-Jun-24,42336,Justice,Casual,Not found,30-Jun-24,TE 19 - TE 21,Salary Range:  $27.66 - $35.23 Hourly
Crown Attorney,https://jobs.novascotia.ca/job/SHELBURNE-Crown-Attorney-NS-B0T-1W0/579822017/,Public Prosecution Service,Not found,02-Jul-24,Not found,Not found,Not found,Not found,Not found,CA 01 - SCA 10,"Salary Range:  $3,185.77 - $5,877.68 Bi-Weekly"
Social Worker (Regional Resource Assessor) (Designated) , https://jobs.novascotia.ca/job/Flexible-Social-Worker-%28Regional-Resource-Assessor%29-%28Designated%29-NS-B4V-1V8/581348517/ ,Community Services Location: Flexible, NS, CA, B4V 1V8 Shift Type: 03-Jul-24 Additional Data: {'Competition': '42815', 'Department': 'Community Services', 'Location': 'Flexible', 'Type of Employment': 'Permanent', 'Union Status': 'Not found', 'Closing Date': '03-Jul-24', 'Pay Grade': 'PR 09\xa0- PR 15', 'Salary Range': 'Salary Range:\xa0 $2,173.77\xa0- $3,364.90\xa0Bi-Weekly'}
Correctional Officer - Relief Roster (Designated) , https://jobs.novascotia.ca/job/HALIFAX-Correctional-Officer-Relief-Roster-%28Designated%29-NS-B3J-1T0/575552817/ ,Justice Location: HALIFAX, NS, CA, B3J 1T0 Shift Type: 07-Nov-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Not found', 'Type of Employment': '07-Nov-24', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'Not found', 'Salary Range': 'Not found'}
Administrative Assistant (Secretary 2) - Casual Relief , https://jobs.novascotia.ca/job/KENTVILLE-Administrative-Assistant-%28Secretary-2%29-Casual-Relief-NS-B4N-2E3/582234617/ ,Justice Location: KENTVILLE, NS, CA, B4N 2E3 Shift Type: 16-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Justice', 'Location': 'Location:\xa0KENTVILLE', 'Type of Employment': 'Type of Employment:\xa0Casual', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa016-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 CL 18'}
Crown Attorney , https://jobs.novascotia.ca/job/KENTVILLE-Crown-Attorney-NS-B4N-2E3/582239617/ ,Public Prosecution Service Location: KENTVILLE, NS, CA, B4N 2E3 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Not found', 'Type of Employment': 'Not found', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'CA 01\xa0- SCA 10', 'Salary Range': 'Salary Range:\xa0 $3,185.77\xa0- $5,877.68\xa0Bi-Weekly'}
Area Firearms Officer (Compliance Officer 3) - Halifax , https://jobs.novascotia.ca/job/HALIFAX-Area-Firearms-Officer-%28Compliance-Officer-3%29-Halifax-NS-B3J-2L6/582235217/ ,Justice Location: HALIFAX, NS, CA, B3J 2L6 Shift Type: 09-Jul-24 Additional Data: {'Competition': '43359', 'Department': 'Justice', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '09-Jul-24', 'Pay Grade': 'TE 24', 'Salary Range': 'Salary Range:\xa0 $2,370.01\xa0- $2,791.38\xa0Bi-Weekly'}
Area Firearms Officer (Compliance Officer 3) - Yarmouth , https://jobs.novascotia.ca/job/YARMOUTH-Area-Firearms-Officer-%28Compliance-Officer-3%29-Yarmouth-NS-B5A-2T1/582235317/ ,Justice Location: YARMOUTH, NS, CA, B5A 2T1 Shift Type: 09-Jul-24 Additional Data: {'Competition': '43358', 'Department': 'Justice', 'Location': 'YARMOUTH', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '09-Jul-24', 'Pay Grade': 'TE 24', 'Salary Range': 'Salary Range:\xa0 $2,370.01\xa0- $2,791.38\xa0Bi-Weekly'}
Engineering Aide (Clerk 4) (New Minas) , https://jobs.novascotia.ca/job/NEW-MINAS-Engineering-Aide-%28Clerk-4%29-%28New-Minas%29-NS-B4N-3G7/582227917/ ,Public Works Location: NEW MINAS, NS, CA, B4N 3G7 Shift Type: 09-Jul-24 Additional Data: {'Competition': '43402', 'Department': 'Public Works', 'Location': 'NEW MINAS', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '09-Jul-24', 'Pay Grade': 'CL 22', 'Salary Range': 'Salary Range:\xa0 $1,934.21\xa0- $2,139.34\xa0Bi-Weekly'}
Dispatch Operator 1 , https://jobs.novascotia.ca/job/SHUBENACADIE-Dispatch-Operator-1-NS-B0N-2H0/582232217/ ,Service Nova Scotia Location: SHUBENACADIE, NS, CA, B0N 2H0 Shift Type: 07-Jul-24 Additional Data: {'Competition': '43374', 'Department': 'Service Nova Scotia', 'Location': 'SHUBENACADIE', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '07-Jul-24', 'Pay Grade': 'TE 17', 'Salary Range': 'Salary Range:\xa0 $1,792.63\xa0- $2,105.04\xa0Bi-Weekly'}
Clerk 3 (Administration and Vehicle Tax Clerk) , https://jobs.novascotia.ca/job/HALIFAX-Clerk-3-%28Administration-and-Vehicle-Tax-Clerk%29-NS-B3J-3K5/582232317/ ,Service Nova Scotia Location: HALIFAX, NS, CA, B3J 3K5 Shift Type: 09-Jul-24 Additional Data: {'Competition': '43267', 'Department': 'Service Nova Scotia', 'Location': 'HALIFAX', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '09-Jul-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Co-op Finance Student- Fall 2024 (2 Opportunities) , https://jobs.novascotia.ca/job/HALIFAX-Co-op-Finance-Student%2C-Fall-2024-%282-Opportunities%29-NS-B3J2A8/582231117/ ,Community Services Location: HALIFAX, NS, CA, B3J2A8 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Community Services', 'Location': 'Location:\xa0Halifax, Kentville or New Glasgow', 'Type of Employment': 'Type of Employment:\xa0Student', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa009-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 HOURLY'}
Park Attendant (Maintenance Worker 1(A)) , https://jobs.novascotia.ca/job/BROOKLYN-Park-Attendant-%28Maintenance-Worker-1%28A%29%29-NS-B0N-2A0/582250517/ ,Natural Resources & Renewables Location: BROOKLYN, NS, CA, B0N 2A0 Shift Type: 09-Jul-24 Additional Data: {'Competition': '43423', 'Department': 'Natural Resources & Renewables', 'Location': 'BROOKLYN', 'Type of Employment': 'Seasonal', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '09-Jul-24', 'Pay Grade': 'MOS 04', 'Salary Range': 'Salary Range:\xa0 $1,546.31\xa0- $1,575.65\xa0Bi-Weekly'}
Labour Standards Officer 3 , https://jobs.novascotia.ca/job/HALIFAX-Labour-Standards-Officer-3-NS-B3J-2T8/582250717/ ,Labour, Skills and Immigration Location: HALIFAX, NS, CA, B3J 2T8 Shift Type: 09-Jul-24 Additional Data: {'Competition': '43420', 'Department': 'Labour, Skills and Immigration', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '09-Jul-24', 'Pay Grade': 'PR 15', 'Salary Range': 'Salary Range:\xa0 $2,760.42\xa0- $3,364.90\xa0Bi-Weekly'}
Executive Administrative Coordinator to the CEO , https://jobs.novascotia.ca/job/HALIFAX-Executive-Administrative-Coordinator-to-the-CEO-NS-B3J-1V9/582234117/ ,Art Gallery of Nova Scotia Location: HALIFAX, NS, CA, B3J 1V9 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Union Status:\xa0Exclusion - Non Union - NSPG', 'Location': 'Closing Date:\xa0\u200b09-Jul-24', 'Type of Employment': 'Pay Grade:\xa0 EC 06', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'Not found', 'Salary Range': 'Not found'}
Inspector/Checker/Weigher (Summer Works Period) (Yarmouth Construction Area) (4 Positions) , https://jobs.novascotia.ca/job/YARMOUTH-COUNTY-InspectorCheckerWeigher-%28Summer-Works-Period%29-%28Yarmouth-Construction-Area%29-%284-Positions%29-NS-B5A-4A8/582193317/ ,Public Works Location: YARMOUTH COUNTY, NS, CA, B5A 4A8 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0YARMOUTH COUNTY', 'Type of Employment': 'Zone:\xa034', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Inspector/Checker/Weigher (Summer Works Period) (Shelburne Construction Area) (2 Positions) , https://jobs.novascotia.ca/job/SHELBURNE-InspectorCheckerWeigher-%28Summer-Works-Period%29-%28Shelburne-Construction-Area%29-%282-Positions%29-NS-B0T-1W0/582195817/ ,Public Works Location: SHELBURNE, NS, CA, B0T 1W0 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0SHELBURNE', 'Type of Employment': 'Zone:\xa032', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
